	preSwitchB/CD19pos	switchB/CD19pos	CD45pos/PBMC	transitionals/naiveB	BCells/CD45pos	IgApos/switchB	naiveB/CD19pos	exhaustedB/CD19pos	plasmablasts/switchB
9536332	0.104	0.0424	0.998	0.0153	0.0653	0.276	0.831	0.0232	0.0189
9536341	0.0677	0.195	0.999	0.0297	0.0776	0.436	0.701	0.0356	0.0201
9536394	0.114	0.0649	0.999	0.0383	0.0571	0.0776	0.789	0.0321	0.0307
9536398	0.126	0.121	0.995	0.0109	0.041	0.384	0.715	0.038	0.0123
9536401	0.0886999999999999	0.0581	0.999	0.0438	0.112	0.0755	0.823	0.0302	0.0709
9536642	0.125	0.151	0.995	0.0955	0.125	0.0678	0.6659999999999999	0.0578	0.0552
9536423	0.17	0.238	0.993	0.0369	0.0705	0.313	0.484	0.108	0.063
9536442	0.271	0.196	0.997	0.0332	0.0479	0.0895	0.491	0.0416	0.0337
9536452	0.124	0.0838	0.998	0.0598	0.0853999999999999	0.262	0.7659999999999999	0.0261	0.341
9536453	0.245	0.177	0.998	0.0395	0.0532	0.0584	0.53	0.0484	0.0109
9536479	0.0642	0.0833	0.996	0.0602	0.0583	0.0666	0.809	0.0433	0.0222
9536485	0.0382	0.152	0.995	0.0622	0.049	0.382	0.774	0.0363	0.0551
9536496	0.0723	0.0975	0.996	0.0396	0.0905	0.476	0.7929999999999999	0.037	0.232
9581613	0.0894	0.1669999999999999	0.997	0.0643	0.0417	0.0729	0.7040000000000001	0.0389	0.0497
9581615	0.0923	0.159	0.996	0.0296	0.0593	0.375	0.6779999999999999	0.071	0.0546
9581618	0.0666	0.207	0.991	0.0323	0.0378	0.382	0.6729999999999999	0.0531	0.0783
9581619	0.0762999999999999	0.196	0.991	0.0535	0.0367	0.501	0.629	0.0988	0.233
9581626	0.153	0.233	0.998	0.0906	0.0455	0.0591	0.5770000000000001	0.0368	0.0376
9581648	0.0729	0.154	0.996	0.0409	0.0922	0.0579	0.735	0.0376	0.0463
9581649	0.0747	0.0946	0.992	0.02	0.056	0.0667	0.758	0.0731	0.0199
9581651	0.293	0.159	0.996	0.0434	0.0996	0.0523	0.518	0.0309	0.0177
9581662	0.0767	0.152	0.998	0.031	0.0425	0.398	0.7120000000000001	0.0597	0.191
9581693	0.182	0.119	0.973	0.0096	0.0574	0.479	0.655	0.0437	0.027
9581711	0.217	0.174	0.999	0.0163999999999999	0.053	0.172	0.5529999999999999	0.0558	0.111
9581714	0.246	0.13	0.999	0.0358	0.0831	0.0695	0.58	0.0445	0.0529
9581716	0.0235	0.146	0.999	0.0572	0.0355	0.491	0.802	0.0284	0.283
9581724	0.155	0.186	0.993	0.0385	0.0284	0.305	0.595	0.0639	0.144
9581738	0.105	0.101	0.993	0.0578	0.0522	0.393	0.747	0.0467	0.0427
9581764	0.161	0.172	0.997	0.0644	0.0474	0.0544	0.598	0.0696	0.0153
9581769	0.15	0.1369999999999999	0.998	0.0261	0.0316	0.38	0.667	0.0467	0.0629
9581772	0.147	0.208	0.999	0.0346	0.0764	0.0706	0.617	0.0274	0.025
9581774	0.335	0.0629	0.996	0.0221	0.0456	0.429	0.589	0.0136	0.0134
